"OTU","Sample","Abundance","Kingdom","Phylum"
"183d7a6a20b38695342d58bce245f3be","S00PP-0014",1.12417264708904,"teria","rochaetota"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0014",1.088950527598,"teria","pilobacterota"
"183d7a6a20b38695342d58bce245f3be","S00PP-0007",1.07820985452095,"teria","rochaetota"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0026",1.0731272294887,"teria","teobacteria"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0015",0.986108246939502,"teria","pilobacterota"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0025",0.963768637902471,"teria","teobacteria"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0007",0.899829547706822,"teria","ulfobacterota"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0015",0.897995913087494,"teria","teobacteria"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0015",0.886747530042556,"teria","nobacteria"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0024",0.881366011128573,"teria","ulfobacterota"
"183d7a6a20b38695342d58bce245f3be","S00PP-0009",0.831744607678218,"teria","rochaetota"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0026",0.827883472057075,"teria","ulfobacterota"
"ae71c2e538a51e571a12a1d35ecb3975","S00PP-0011",0.806735852751126,"teria","simicrobiota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0022",0.797090752942124,"haea","yarchaeota"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0009",0.770064670479608,"teria","pilobacterota"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0021",0.756530427748965,"teria","ulfobacterota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0001",0.755022821311266,"haea","yarchaeota"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0003",0.747825796651477,"teria","pilobacterota"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0020",0.744127324202311,"teria","nobacteria"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0013",0.742654733996133,"teria","pilobacterota"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0030",0.742499689886764,"teria","ulfobacterota"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0007",0.717485234074603,"teria","teobacteria"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0018",0.715806413759576,"teria","pilobacterota"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0018",0.705748244011198,"teria","ulfobacterota"
"183d7a6a20b38695342d58bce245f3be","S00PP-0024",0.702969035382067,"teria","rochaetota"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0006",0.699092223530639,"teria","nobacteria"
"183d7a6a20b38695342d58bce245f3be","S00PP-0022",0.662900390493955,"teria","rochaetota"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0023",0.660639238248841,"teria","pilobacterota"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0027",0.659503843466108,"teria","teobacteria"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0029",0.653052542012338,"teria","ulfobacterota"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0025",0.643953036087301,"teria","ulfobacterota"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0011",0.642255727432935,"teria","teobacteria"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0020",0.638916520009182,"teria","ulfobacterota"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0012",0.610694250479324,"teria","pilobacterota"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0006",0.561956861985183,"teria","ulfobacterota"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0023",0.547431105872866,"teria","nobacteria"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0026",0.530618311533888,"teria","pilobacterota"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0009",0.528952188703226,"teria","teobacteria"
"183d7a6a20b38695342d58bce245f3be","S00PP-0013",0.520200551001899,"teria","rochaetota"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0007",0.513338882942879,"teria","pilobacterota"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0020",0.470579233300176,"teria","teobacteria"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0012",0.461571235827396,"teria","teobacteria"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0022",0.456247232323775,"teria","ulfobacterota"
"f50d1d42a442560b41612992aa2a07c3","S00PP-0011",0.413158410025455,"haea","rmoplasmatota"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0024",0.409888289512806,"teria","teobacteria"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0030",0.405805319771048,"teria","nobacteria"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0013",0.396995157343555,"teria","teobacteria"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0029",0.395660497766433,"teria","pilobacterota"
"f50d1d42a442560b41612992aa2a07c3","S00PP-0007",0.388472668172989,"haea","rmoplasmatota"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0011",0.366164088505972,"teria","pilobacterota"
"183d7a6a20b38695342d58bce245f3be","S00PP-0001",0.364003469408068,"teria","rochaetota"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0022",0.354262556863166,"teria","teobacteria"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0013",0.345659576652578,"teria","nobacteria"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0021",0.342579816339154,"teria","teobacteria"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0001",0.332721921255812,"teria","teobacteria"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0004",0.321630443436032,"teria","pilobacterota"
"183d7a6a20b38695342d58bce245f3be","S00PP-0027",0.305730258560447,"teria","rochaetota"
