"OTU","Sample","Abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"de9cb0c4247e2cf405bce2e714ecd546","S00PP-0001",0,"teria","inobacteriota","iobacteriia","iobacteriales","erthellaceae","erorhabdus"
"de9cb0c4247e2cf405bce2e714ecd546","S00PP-0015",0,"teria","inobacteriota","iobacteriia","iobacteriales","erthellaceae","erorhabdus"
"de9cb0c4247e2cf405bce2e714ecd546","S00PP-0016",0,"teria","inobacteriota","iobacteriia","iobacteriales","erthellaceae","erorhabdus"
"de9cb0c4247e2cf405bce2e714ecd546","S00PP-0022",0,"teria","inobacteriota","iobacteriia","iobacteriales","erthellaceae","erorhabdus"
"de9cb0c4247e2cf405bce2e714ecd546","S00PP-0023",0,"teria","inobacteriota","iobacteriia","iobacteriales","erthellaceae","erorhabdus"
"de9cb0c4247e2cf405bce2e714ecd546","S00PP-0008",0,"teria","inobacteriota","iobacteriia","iobacteriales","erthellaceae","erorhabdus"
"de9cb0c4247e2cf405bce2e714ecd546","S00PP-0012",0,"teria","inobacteriota","iobacteriia","iobacteriales","erthellaceae","erorhabdus"
"de9cb0c4247e2cf405bce2e714ecd546","S00PP-0020",0,"teria","inobacteriota","iobacteriia","iobacteriales","erthellaceae","erorhabdus"
"de9cb0c4247e2cf405bce2e714ecd546","S00PP-0019",0,"teria","inobacteriota","iobacteriia","iobacteriales","erthellaceae","erorhabdus"
"de9cb0c4247e2cf405bce2e714ecd546","S00PP-0017",0,"teria","inobacteriota","iobacteriia","iobacteriales","erthellaceae","erorhabdus"
"de9cb0c4247e2cf405bce2e714ecd546","S00PP-0021",0,"teria","inobacteriota","iobacteriia","iobacteriales","erthellaceae","erorhabdus"
"e2629a5b98acd1c5596c35d7a175537f","S00PP-0004",0,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales","ulfovibrionaceae","ulfovibrio"
"e2629a5b98acd1c5596c35d7a175537f","S00PP-0003",0,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales","ulfovibrionaceae","ulfovibrio"
"e2629a5b98acd1c5596c35d7a175537f","S00PP-0002",0,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales","ulfovibrionaceae","ulfovibrio"
"e2629a5b98acd1c5596c35d7a175537f","S00PP-0029",0,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales","ulfovibrionaceae","ulfovibrio"
"e2629a5b98acd1c5596c35d7a175537f","S00PP-0011",0,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales","ulfovibrionaceae","ulfovibrio"
"e2629a5b98acd1c5596c35d7a175537f","S00PP-0028",0,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales","ulfovibrionaceae","ulfovibrio"
"e2629a5b98acd1c5596c35d7a175537f","S00PP-0018",0,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales","ulfovibrionaceae","ulfovibrio"
"e2629a5b98acd1c5596c35d7a175537f","S00PP-0001",0,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales","ulfovibrionaceae","ulfovibrio"
"e2629a5b98acd1c5596c35d7a175537f","S00PP-0030",0,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales","ulfovibrionaceae","ulfovibrio"
"e2629a5b98acd1c5596c35d7a175537f","S00PP-0014",0,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales","ulfovibrionaceae","ulfovibrio"
"e2629a5b98acd1c5596c35d7a175537f","S00PP-0015",0,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales","ulfovibrionaceae","ulfovibrio"
"e2629a5b98acd1c5596c35d7a175537f","S00PP-0019",0,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales","ulfovibrionaceae","ulfovibrio"
"e2629a5b98acd1c5596c35d7a175537f","S00PP-0006",0,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales","ulfovibrionaceae","ulfovibrio"
"e2629a5b98acd1c5596c35d7a175537f","S00PP-0010",0,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales","ulfovibrionaceae","ulfovibrio"
"e2bb29fbf7c47b29fb1465fc6492ba25","S00PP-0003",0,"teria","micutes","stridia","hnospirales","hnospiraceae","bacterium]_hallii_group"
"e2bb29fbf7c47b29fb1465fc6492ba25","S00PP-0015",0,"teria","micutes","stridia","hnospirales","hnospiraceae","bacterium]_hallii_group"
