"OTU","Sample","Abundance","Kingdom","Phylum","Class","Order"
"9254799d4a8b65d9ecf85599fec186e3","S00PP-0010",0,"teria","teobacteria","maproteobacteria","teurellales"
"9254799d4a8b65d9ecf85599fec186e3","S00PP-0023",0,"teria","teobacteria","maproteobacteria","teurellales"
"9254799d4a8b65d9ecf85599fec186e3","S00PP-0024",0,"teria","teobacteria","maproteobacteria","teurellales"
"9254799d4a8b65d9ecf85599fec186e3","S00PP-0022",0,"teria","teobacteria","maproteobacteria","teurellales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0017",0,"teria","pilobacterota","pylobacteria","pylobacterales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0027",0,"teria","teobacteria","maproteobacteria","erobacterales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0003",0,"teria","teobacteria","maproteobacteria","erobacterales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0026",0,"teria","teobacteria","maproteobacteria","erobacterales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0016",0,"teria","teobacteria","maproteobacteria","erobacterales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0024",0,"teria","teobacteria","maproteobacteria","erobacterales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0022",0,"teria","teobacteria","maproteobacteria","erobacterales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0019",0,"teria","teobacteria","maproteobacteria","erobacterales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0002",0,"teria","teobacteria","maproteobacteria","erobacterales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0011",0,"teria","teobacteria","maproteobacteria","erobacterales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0005",0,"teria","teobacteria","maproteobacteria","erobacterales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0015",0,"teria","teobacteria","maproteobacteria","erobacterales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0007",0,"teria","teobacteria","maproteobacteria","erobacterales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0010",0,"teria","teobacteria","maproteobacteria","erobacterales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0023",0,"teria","teobacteria","maproteobacteria","erobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0027",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0018",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0026",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0009",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0010",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0020",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0016",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0008",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0001",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0002",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0021",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0012",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0004",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0015",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0017",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0007",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0003",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0014",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0022",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0025",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0024",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0013",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0005",0,"teria","teobacteria","maproteobacteria","roidobacterales"
"a923f0209bea2c56cf370129ae7ad53e","S00PP-0019",0,"teria","teobacteria","maproteobacteria","roidobacterales"
