"OTU","Sample","Abundance","Kingdom","Phylum","Class","Order"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0009",933,"teria","nobacteria","pirivibrionia","tranaerophilales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0028",933,"teria","teobacteria","maproteobacteria","kholderiales"
"012ef658933550c9ae6719455ba247de","S00PP-0022",928,"teria","micutes","stridia","illospirales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0023",885,"teria","teobacteria","maproteobacteria","kholderiales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0004",869,"teria","teobacteria","maproteobacteria","kholderiales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0001",829,"teria","micutes","illi","sipelotrichales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0021",821,"teria","micutes","illi","tobacillales"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0018",788,"haea","yarchaeota","hanobacteria","hanobacteriales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0020",776,"teria","rochaetota","rochaetia","rochaetales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0027",776,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0030",774,"teria","teobacteria","maproteobacteria","kholderiales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0025",773,"teria","micutes","ativicutes","daminococcales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0026",771,"teria","rochaetota","rochaetia","rochaetales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0014",770,"teria","micutes","illi","tobacillales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0014",766,"teria","rochaetota","rochaetia","rochaetales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0007",766,"teria","micutes","illi","tobacillales"
"012ef658933550c9ae6719455ba247de","S00PP-0018",764,"teria","micutes","stridia","illospirales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0014",742,"teria","pilobacterota","pylobacteria","pylobacterales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0006",739,"teria","teobacteria","maproteobacteria","kholderiales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0029",731,"teria","teobacteria","maproteobacteria","kholderiales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0026",729,"teria","micutes","ativicutes","daminococcales"
"fe1644129eb6fb34078f939c04915813","S00PP-0008",718,"teria","teobacteria","haproteobacteria","dospirillales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0023",709,"teria","micutes","illi","tobacillales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0008",709,"teria","pilobacterota","pylobacteria","pylobacterales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0026",704,"teria","micutes","illi","tobacillales"
"fe1644129eb6fb34078f939c04915813","S00PP-0014",703,"teria","teobacteria","haproteobacteria","dospirillales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0008",699,"teria","micutes","stridia","hnospirales"
"fe1644129eb6fb34078f939c04915813","S00PP-0010",691,"teria","teobacteria","haproteobacteria","dospirillales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0030",686,"teria","pilobacterota","pylobacteria","pylobacterales"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0005",679,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"012ef658933550c9ae6719455ba247de","S00PP-0017",672,"teria","micutes","stridia","illospirales"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0002",638,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"012ef658933550c9ae6719455ba247de","S00PP-0025",626,"teria","micutes","stridia","illospirales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0028",621,"teria","micutes","illi","tobacillales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0006",607,"teria","micutes","illi","tobacillales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0015",603,"teria","micutes","illi","sipelotrichales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0018",598,"teria","micutes","illi","tobacillales"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0022",594,"haea","yarchaeota","hanobacteria","hanobacteriales"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0018",582,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"012ef658933550c9ae6719455ba247de","S00PP-0006",579,"teria","micutes","stridia","illospirales"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0028",572,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"012ef658933550c9ae6719455ba247de","S00PP-0030",566,"teria","micutes","stridia","illospirales"
"012ef658933550c9ae6719455ba247de","S00PP-0002",564,"teria","micutes","stridia","illospirales"
"012ef658933550c9ae6719455ba247de","S00PP-0027",559,"teria","micutes","stridia","illospirales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0026",557,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0005",556,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0007",544,"teria","rochaetota","rochaetia","rochaetales"
"2717c55a33435a4cf9c4953837bac9f4","S00PP-0018",535,"teria","micutes","stridia","stridia_vadinBB60_group"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0030",534,"teria","micutes","illi","tobacillales"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0001",531,"haea","yarchaeota","hanobacteria","hanobacteriales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0012",528,"teria","rochaetota","rochaetia","rochaetales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0015",526,"teria","pilobacterota","pylobacteria","pylobacterales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0029",520,"teria","micutes","illi","tobacillales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0022",514,"teria","micutes","illi","tobacillales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0026",509,"teria","micutes","illi","sipelotrichales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0022",494,"teria","rochaetota","rochaetia","rochaetales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0012",478,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0015",473,"teria","nobacteria","pirivibrionia","tranaerophilales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0026",472,"teria","teobacteria","maproteobacteria","kholderiales"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0006",469,"teria","nobacteria","pirivibrionia","tranaerophilales"
"012ef658933550c9ae6719455ba247de","S00PP-0003",454,"teria","micutes","stridia","illospirales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0007",454,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"d28313e755b0d735a3f5db93b60345b9","S00PP-0022",454,"teria","micutes","stridia","stridiales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0015",452,"teria","teobacteria","maproteobacteria","kholderiales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0003",448,"teria","pilobacterota","pylobacteria","pylobacterales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0025",447,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0009",445,"teria","rochaetota","rochaetia","rochaetales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0023",435,"teria","micutes","illi","sipelotrichales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0013",434,"teria","pilobacterota","pylobacteria","pylobacterales"
"4f75b2e18a41280d3a51b71dfd217114","S00PP-0010",430,"teria","micutes","illi","9"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0002",428,"teria","micutes","illi","sipelotrichales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0018",427,"teria","pilobacterota","pylobacteria","pylobacterales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0023",426,"teria","pilobacterota","pylobacteria","pylobacterales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0018",421,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0030",419,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0024",415,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"4f75b2e18a41280d3a51b71dfd217114","S00PP-0014",413,"teria","micutes","illi","9"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0009",412,"teria","pilobacterota","pylobacteria","pylobacterales"
"ae71c2e538a51e571a12a1d35ecb3975","S00PP-0011",412,"teria","simicrobiota","simicrobia","simicrobiales"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0009",408,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"012ef658933550c9ae6719455ba247de","S00PP-0010",406,"teria","micutes","stridia","illospirales"
"4f75b2e18a41280d3a51b71dfd217114","S00PP-0008",390,"teria","micutes","illi","9"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0020",389,"teria","nobacteria","pirivibrionia","tranaerophilales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0006",377,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"7564945495f0d840065ec35193e54153","S00PP-0027",363,"teria","micutes","illi","oplasmatales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0027",362,"teria","teobacteria","maproteobacteria","kholderiales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0026",357,"teria","pilobacterota","pylobacteria","pylobacterales"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0023",353,"teria","nobacteria","pirivibrionia","tranaerophilales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0013",344,"teria","micutes","illi","tobacillales"
"218d7fe9eb2b82133c504cb4c7ab8076","S00PP-0020",343,"teria","micutes","stridia","stridia_UCG-014"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0022",340,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"2717c55a33435a4cf9c4953837bac9f4","S00PP-0006",337,"teria","micutes","stridia","stridia_vadinBB60_group"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0020",334,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0024",331,"teria","rochaetota","rochaetia","rochaetales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0006",326,"teria","micutes","illi","sipelotrichales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0027",323,"teria","micutes","illi","tobacillales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0021",318,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0020",315,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0029",307,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"218d7fe9eb2b82133c504cb4c7ab8076","S00PP-0014",305,"teria","micutes","stridia","stridia_UCG-014"
"183d7a6a20b38695342d58bce245f3be","S00PP-0013",304,"teria","rochaetota","rochaetia","rochaetales"
"2717c55a33435a4cf9c4953837bac9f4","S00PP-0028",292,"teria","micutes","stridia","stridia_vadinBB60_group"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0027",292,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"032fc3717d8136fccddb555b0aa201a3","S00PP-0001",287,"teria","micutes","stridia","oglobales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0014",273,"teria","micutes","ativicutes","daminococcales"
"fe1644129eb6fb34078f939c04915813","S00PP-0007",265,"teria","teobacteria","haproteobacteria","dospirillales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0007",259,"teria","pilobacterota","pylobacteria","pylobacterales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0012",258,"teria","pilobacterota","pylobacteria","pylobacterales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0028",257,"teria","micutes","illi","sipelotrichales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0001",256,"teria","rochaetota","rochaetia","rochaetales"
"032fc3717d8136fccddb555b0aa201a3","S00PP-0012",252,"teria","micutes","stridia","oglobales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0022",252,"teria","teobacteria","maproteobacteria","kholderiales"
"d28313e755b0d735a3f5db93b60345b9","S00PP-0024",252,"teria","micutes","stridia","stridiales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0029",251,"teria","micutes","illi","sipelotrichales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0029",249,"teria","teobacteria","maproteobacteria","erobacterales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0017",245,"teria","micutes","illi","sipelotrichales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0030",243,"teria","micutes","illi","sipelotrichales"
"2717c55a33435a4cf9c4953837bac9f4","S00PP-0029",240,"teria","micutes","stridia","stridia_vadinBB60_group"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0030",229,"teria","nobacteria","pirivibrionia","tranaerophilales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0017",229,"teria","micutes","ativicutes","daminococcales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0012",227,"teria","micutes","ativicutes","daminococcales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0023",225,"teria","micutes","ativicutes","daminococcales"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0026",224,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0025",222,"teria","teobacteria","maproteobacteria","kholderiales"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0025",219,"teria","teobacteria","maproteobacteria","omonadales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0030",216,"teria","teobacteria","maproteobacteria","erobacterales"
"fe1644129eb6fb34078f939c04915813","S00PP-0009",216,"teria","teobacteria","haproteobacteria","dospirillales"
"fe1644129eb6fb34078f939c04915813","S00PP-0025",215,"teria","teobacteria","haproteobacteria","dospirillales"
"f50d1d42a442560b41612992aa2a07c3","S00PP-0011",211,"haea","rmoplasmatota","rmoplasmata","hanomassiliicoccales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0027",210,"teria","rochaetota","rochaetia","rochaetales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0030",207,"teria","micutes","ativicutes","daminococcales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0006",206,"teria","teobacteria","maproteobacteria","erobacterales"
