"OTU","Sample","Abundance","Kingdom","Phylum"
"f50d1d42a442560b41612992aa2a07c3","S00PP-0028",52,"haea","rmoplasmatota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0002",43,"haea","yarchaeota"
"ae71c2e538a51e571a12a1d35ecb3975","S00PP-0012",43,"teria","simicrobiota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0014",43,"teria","rucomicrobiota"
"ae71c2e538a51e571a12a1d35ecb3975","S00PP-0008",42,"teria","simicrobiota"
"f50d1d42a442560b41612992aa2a07c3","S00PP-0013",42,"haea","rmoplasmatota"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0016",41,"teria","ulfobacterota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0008",40,"haea","yarchaeota"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0016",40,"teria","pilobacterota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0007",39,"haea","yarchaeota"
"ae71c2e538a51e571a12a1d35ecb3975","S00PP-0001",39,"teria","simicrobiota"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0001",36,"teria","ulfobacterota"
"ae71c2e538a51e571a12a1d35ecb3975","S00PP-0007",36,"teria","simicrobiota"
"ae71c2e538a51e571a12a1d35ecb3975","S00PP-0010",36,"teria","simicrobiota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0012",35,"teria","inobacteriota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0001",34,"teria","rucomicrobiota"
"183d7a6a20b38695342d58bce245f3be","S00PP-0015",33,"teria","rochaetota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0013",33,"teria","rucomicrobiota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0029",32,"haea","yarchaeota"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0011",32,"teria","ulfobacterota"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0005",30,"teria","nobacteria"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0010",30,"teria","ulfobacterota"
"f50d1d42a442560b41612992aa2a07c3","S00PP-0006",30,"haea","rmoplasmatota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0026",29,"teria","inobacteriota"
"183d7a6a20b38695342d58bce245f3be","S00PP-0011",28,"teria","rochaetota"
"36b0b251d44111826aa72760204004f9","S00PP-0007",27,"teria","erribacterota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0030",27,"teria","inobacteriota"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0013",27,"teria","ulfobacterota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0004",26,"teria","inobacteriota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0013",25,"haea","yarchaeota"
"f50d1d42a442560b41612992aa2a07c3","S00PP-0014",25,"haea","rmoplasmatota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0011",24,"teria","rucomicrobiota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0014",22,"teria","inobacteriota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0024",22,"teria","rucomicrobiota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0017",21,"teria","rucomicrobiota"
"f50d1d42a442560b41612992aa2a07c3","S00PP-0008",21,"haea","rmoplasmatota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0009",20,"teria","rucomicrobiota"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0010",18,"teria","pilobacterota"
"36b0b251d44111826aa72760204004f9","S00PP-0020",17,"teria","erribacterota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0025",17,"teria","rucomicrobiota"
"183d7a6a20b38695342d58bce245f3be","S00PP-0008",16,"teria","rochaetota"
"36b0b251d44111826aa72760204004f9","S00PP-0028",16,"teria","erribacterota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0017",16,"teria","inobacteriota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0025",16,"teria","inobacteriota"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0005",16,"teria","pilobacterota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0007",15,"teria","inobacteriota"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0005",15,"teria","teobacteria"
"ef26904830b91caa86a460c041c77fd4","S00PP-0015",15,"teria","rucomicrobiota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0007",15,"teria","rucomicrobiota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0001",14,"teria","inobacteriota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0011",14,"teria","inobacteriota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0010",14,"teria","inobacteriota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0020",14,"haea","yarchaeota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0018",12,"teria","inobacteriota"
"f50d1d42a442560b41612992aa2a07c3","S00PP-0030",12,"haea","rmoplasmatota"
"f50d1d42a442560b41612992aa2a07c3","S00PP-0019",12,"haea","rmoplasmatota"
"0ed4ba32ebfb689312a43dd1d7ed8184","S00PP-0001",11,"teria","escibacteria"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0029",11,"teria","nobacteria"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0009",11,"teria","inobacteriota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0010",11,"haea","yarchaeota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0009",11,"haea","yarchaeota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0002",11,"teria","rucomicrobiota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0021",11,"teria","rucomicrobiota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0006",10,"teria","inobacteriota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0019",10,"haea","yarchaeota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0019",10,"teria","rucomicrobiota"
"f50d1d42a442560b41612992aa2a07c3","S00PP-0021",9,"haea","rmoplasmatota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0005",8,"teria","inobacteriota"
"ae71c2e538a51e571a12a1d35ecb3975","S00PP-0024",8,"teria","simicrobiota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0026",8,"teria","rucomicrobiota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0012",8,"teria","rucomicrobiota"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0002",7,"teria","nobacteria"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0022",7,"teria","inobacteriota"
